dataset,replicate,formula,delta_spearman_vs_magnitude
Frangieh,208,setting_adaptive_lodo,0.02925051559027328
Frangieh,209,one_sided_025,0.016993387053059444
Frangieh,209,setting_adaptive_lodo,0.03654615019719243
Frangieh,210,one_sided_025,0.018083362382564472
Frangieh,210,setting_adaptive_lodo,0.030669585412364947
Frangieh,211,one_sided_025,0.016876585587266124
Frangieh,211,setting_adaptive_lodo,0.029505569877594118
Frangieh,212,one_sided_025,0.012998297051712827
Frangieh,212,setting_adaptive_lodo,0.03467788089737273
Frangieh,213,one_sided_025,0.021961677295873727
Frangieh,213,setting_adaptive_lodo,0.03756259652407967
Frangieh,214,one_sided_025,0.0027513381694243555
Frangieh,214,setting_adaptive_lodo,0.010876850087857631
Frangieh,215,one_sided_025,0.01692884438870626
Frangieh,215,setting_adaptive_lodo,0.03268530673720277
Frangieh,216,one_sided_025,0.024107690325517545
Frangieh,216,setting_adaptive_lodo,0.042573912146566056
Frangieh,217,one_sided_025,0.013669628811257634
Frangieh,217,setting_adaptive_lodo,0.02287820782237418
Frangieh,218,one_sided_025,0.013196057734695704
Frangieh,218,setting_adaptive_lodo,0.021421657732010713
Frangieh,219,one_sided_025,0.016441586545907494
Frangieh,219,setting_adaptive_lodo,0.03028768705097594
Frangieh,220,one_sided_025,0.01808074899967972
Frangieh,220,setting_adaptive_lodo,0.031037948764495463
Frangieh,221,one_sided_025,0.022445075953273427
Frangieh,221,setting_adaptive_lodo,0.03344727009491896
Frangieh,222,one_sided_025,0.015099509027318297
Frangieh,222,setting_adaptive_lodo,0.031014800216620314
Frangieh,223,one_sided_025,0.013981975718970988
Frangieh,223,setting_adaptive_lodo,0.025210665065293
Frangieh,224,one_sided_025,0.01132699597243042
Frangieh,224,setting_adaptive_lodo,0.012699439635500687
Frangieh,225,one_sided_025,0.017615184550921176
Frangieh,225,setting_adaptive_lodo,0.02977497135120831
Frangieh,226,one_sided_025,0.016454566279150068
Frangieh,226,setting_adaptive_lodo,0.04462732795776689
Frangieh,227,one_sided_025,0.013050154064879221
Frangieh,227,setting_adaptive_lodo,0.022905340690310222
Frangieh,228,one_sided_025,0.014871534140953602
Frangieh,228,setting_adaptive_lodo,0.029594971974547718
Frangieh,229,one_sided_025,0.00855711699254827
Frangieh,229,setting_adaptive_lodo,0.02139026418197945
Frangieh,230,one_sided_025,0.015908062092341746
Frangieh,230,setting_adaptive_lodo,0.02496744968050868
Frangieh,231,one_sided_025,0.023022077751485875
Frangieh,231,setting_adaptive_lodo,0.050016582900790224
Frangieh,232,one_sided_025,0.009066961755783254
Frangieh,232,setting_adaptive_lodo,0.025306316828120207
Frangieh,233,one_sided_025,0.014277052396737433
Frangieh,233,setting_adaptive_lodo,0.036219182194532185
Frangieh,234,one_sided_025,0.014751395349976826
Frangieh,234,setting_adaptive_lodo,0.030605848042529915
Frangieh,235,one_sided_025,0.014931569049452531
Frangieh,235,setting_adaptive_lodo,0.02485909348269874
Frangieh,236,one_sided_025,0.014431351833620043
Frangieh,236,setting_adaptive_lodo,0.031695168943655816
Frangieh,237,one_sided_025,0.019908318739219305
Frangieh,237,setting_adaptive_lodo,0.041243799220053695
Frangieh,238,one_sided_025,0.014549781617962998
Frangieh,238,setting_adaptive_lodo,0.019174332207545997
Frangieh,239,one_sided_025,0.01628329280043196
Frangieh,239,setting_adaptive_lodo,0.035687815543555906
Frangieh,240,one_sided_025,0.010247883084063159
Frangieh,240,setting_adaptive_lodo,0.021255465242809052
Frangieh,241,one_sided_025,0.01508310855047662
Frangieh,241,setting_adaptive_lodo,0.03040916737342178
Frangieh,242,one_sided_025,0.01655083794610382
Frangieh,242,setting_adaptive_lodo,0.03215475814113167
Frangieh,243,one_sided_025,0.016200674340576704
Frangieh,243,setting_adaptive_lodo,0.028917569028233003
Frangieh,244,one_sided_025,0.01972064253461331
Frangieh,244,setting_adaptive_lodo,0.029252117288767976
Frangieh,245,one_sided_025,0.013385386820763706
Frangieh,245,setting_adaptive_lodo,0.020052254843393402
Frangieh,246,one_sided_025,0.018700745592604012
Frangieh,246,setting_adaptive_lodo,0.04176608012785228
Frangieh,247,one_sided_025,0.016806205315206685
Frangieh,247,setting_adaptive_lodo,0.0427903037362667
Frangieh,248,one_sided_025,0.0075870462905265335
Frangieh,248,setting_adaptive_lodo,0.023351627904681385
Frangieh,249,one_sided_025,0.011197825196428937
Frangieh,249,setting_adaptive_lodo,0.018800683931896364
Frangieh,250,one_sided_025,0.030305819469417197
Frangieh,250,setting_adaptive_lodo,0.05276123244296563
Frangieh,251,one_sided_025,0.013484062788187395
Frangieh,251,setting_adaptive_lodo,0.012164086936114454
Frangieh,252,one_sided_025,0.016120273098676724
Frangieh,252,setting_adaptive_lodo,0.02858194767082539
Frangieh,253,one_sided_025,0.019926652513284376
