panel,score,target,target_kind,coverage,n_retained,n_rejected,retained_mean,full_set_mean,raw_change_vs_full,favorable_change_vs_full
Norman_P2,predicted_magnitude,cosine_effect_accuracy,accuracy,0.6,14,10,0.7421087843377788,0.6124827729094017,0.12962601142837715,0.12962601142837715
Norman_P2,predicted_magnitude,cosine_effect_accuracy,accuracy,0.65,15,9,0.7303390723237648,0.6124827729094017,0.11785629941436315,0.11785629941436315
Norman_P2,predicted_magnitude,cosine_effect_accuracy,accuracy,0.7,16,8,0.658807072722702,0.6124827729094017,0.04632429981330033,0.04632429981330033
Norman_P2,predicted_magnitude,cosine_effect_accuracy,accuracy,0.75,18,6,0.6797533752425488,0.6124827729094017,0.06727060233314708,0.06727060233314708
Norman_P2,predicted_magnitude,cosine_effect_accuracy,accuracy,0.8,19,5,0.6787951374934085,0.6124827729094017,0.0663123645840068,0.0663123645840068
Norman_P2,predicted_magnitude,cosine_effect_accuracy,accuracy,0.85,20,4,0.664552266788715,0.6124827729094017,0.05206949387931337,0.05206949387931337
Norman_P2,predicted_magnitude,cosine_effect_accuracy,accuracy,0.9,21,3,0.6623959002461405,0.6124827729094017,0.049913127336738805,0.049913127336738805
Norman_P2,predicted_magnitude,cosine_effect_accuracy,accuracy,0.95,22,2,0.6294341074832647,0.6124827729094017,0.016951334573862997,0.016951334573862997
Norman_P2,predicted_magnitude,cosine_effect_accuracy,accuracy,1.0,24,0,0.6124827729094017,0.6124827729094017,0.0,0.0
Norman_P2,predicted_magnitude,rmse_effect_error,error,0.5,12,12,0.06919303262927012,0.06304870772351873,0.006144324905751397,-0.006144324905751397
Norman_P2,predicted_magnitude,rmse_effect_error,error,0.55,13,11,0.07182398585414075,0.06304870772351873,0.008775278130622025,-0.008775278130622025
Norman_P2,predicted_magnitude,rmse_effect_error,error,0.6,14,10,0.06872611492931004,0.06304870772351873,0.00567740720579131,-0.00567740720579131
Norman_P2,predicted_magnitude,rmse_effect_error,error,0.65,15,9,0.06709979730926444,0.06304870772351873,0.00405108958574571,-0.00405108958574571
Norman_P2,predicted_magnitude,rmse_effect_error,error,0.7,16,8,0.06655386643447138,0.06304870772351873,0.003505158710952652,-0.003505158710952652
Norman_P2,predicted_magnitude,rmse_effect_error,error,0.75,18,6,0.06172273327727454,0.06304870772351873,-0.001325974446244188,0.001325974446244188
Norman_P2,predicted_magnitude,rmse_effect_error,error,0.8,19,5,0.06067161061148957,0.06304870772351873,-0.0023770971120291584,0.0023770971120291584
Norman_P2,predicted_magnitude,rmse_effect_error,error,0.85,20,4,0.06101463899092208,0.06304870772351873,-0.00203406873259665,0.00203406873259665
Norman_P2,predicted_magnitude,rmse_effect_error,error,0.9,21,3,0.06331514287218122,0.06304870772351873,0.0002664351486624944,-0.0002664351486624944
Norman_P2,predicted_magnitude,rmse_effect_error,error,0.95,22,2,0.062203830985370696,0.06304870772351873,-0.0008448767381480302,0.0008448767381480302
Norman_P2,predicted_magnitude,rmse_effect_error,error,1.0,24,0,0.06304870772351874,0.06304870772351873,1.3877787807814457e-17,-1.3877787807814457e-17
