dataset_name,predictor_name,validation_mode,feature_set,score_name,n,n_task_clusters,aligned_rho,partial_rho_control_magnitude,excess_aurc,aurc_reduction_vs_random_pct,top5_enrichment,top10_enrichment,top20_enrichment
SrivatsanTrapnell2020_sciplex3,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,564,564,0.5846195496691747,0.7003800610558301,0.007777977649046829,22.966062196606057,6.035671819262783,3.4718374884579872,2.473490484767797
SrivatsanTrapnell2020_sciplex3,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,564,564,0.6017616951045645,0.6910175103885101,0.007444664132670406,23.50449538046772,5.365041617122474,4.166204986149585,2.8710157412483355
SrivatsanTrapnell2020_sciplex3,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,564,564,0.26116611023117714,0.2390643063070921,0.013807915565841176,13.225327088339114,4.023781212841855,2.9510618651892893,1.987626282402694
SrivatsanTrapnell2020_sciplex3,Control1NNPredictor,lopo,full,lopo_full,564,564,0.6521127303457059,0.7389346303756595,0.0065613867098782905,24.931337832455128,7.376932223543401,4.166204986149585,3.4010494165557206
SrivatsanTrapnell2020_sciplex3,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,564,564,0.6398047898130418,0.7093917289933773,0.006961333155848744,24.28526610809448,8.04756242568371,4.513388734995384,3.3568799436134387
SrivatsanTrapnell2020_sciplex3,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,564,564,0.3501705829897125,0.31822570022079494,0.012201238557276894,15.820746039731473,4.694411414982165,2.9510618651892893,2.031795755344976
SrivatsanTrapnell2020_sciplex3,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,564,564,0.5399682952687191,0.6443852586571908,0.008610782610090809,21.400192831380394,3.3531510107015463,3.4718374884579872,2.6501683765369255
SrivatsanTrapnell2020_sciplex3,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,564,564,0.564327989188824,0.6546934866595677,0.00853086799886419,21.532257502293017,3.3531510107015463,3.8190212373037857,2.9593546871329
SrivatsanTrapnell2020_sciplex3,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,564,564,0.22056584432229098,0.19282393236341133,0.014421562357641873,11.797459322111099,3.3531510107015463,2.9510618651892893,1.8992873365181295
SrivatsanTrapnell2020_sciplex3,PertMeanPredictor,lopo,full,lopo_full,564,564,0.620774103094775,0.7092031311257744,0.007269920770846303,23.616063932060158,4.694411414982165,4.513388734995384,3.4010494165557206
SrivatsanTrapnell2020_sciplex3,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,564,564,0.6159796554584751,0.6909390834127261,0.007421337938350515,23.365836119022823,6.035671819262783,4.686980609418282,3.4010494165557206
SrivatsanTrapnell2020_sciplex3,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,564,564,0.32540857992352656,0.29783407194384376,0.012616041521665983,14.781212998305179,3.3531510107015463,3.1246537396121883,1.9434568094604119
