dataset_name,predictor_name,validation_mode,feature_set,score_name,magnitude_bin,n,mag_min,mag_max,within_bin_rho_risk_vs_error
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,1,81,22.24137306213379,33.1614875793457,0.2529189910082877
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,2,80,33.38782501220703,49.88027572631836,0.2714624784315001
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,3,81,49.884185791015625,1409.8509521484375,0.3924345076784101
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,frozen_v0_2,0,81,11.016681671142578,22.184783935546875,0.6131662149954833
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,frozen_v0_2,1,81,22.24137306213379,33.1614875793457,0.47515808491418243
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,frozen_v0_2,2,80,33.38782501220703,49.88027572631836,0.4796530707923113
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,frozen_v0_2,3,81,49.884185791015625,1409.8509521484375,0.7800587172538392
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,predicted_magnitude,0,81,11.016681671142578,22.184783935546875,0.9892831371114921
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,predicted_magnitude,1,81,22.24137306213379,33.1614875793457,0.9322311484496905
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,predicted_magnitude,2,80,33.38782501220703,49.88027572631836,0.877334887285862
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,predicted_magnitude,3,81,49.884185791015625,1409.8509521484375,-0.3809948625575
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,random,0,81,11.016681671142578,22.184783935546875,-0.15745257452574524
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,random,1,81,22.24137306213379,33.1614875793457,-0.0054200542005420045
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,random,2,80,33.38782501220703,49.88027572631836,-0.16947960618846694
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,random,3,81,49.884185791015625,1409.8509521484375,0.042637759710930444
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,0,81,11.016681671142578,22.184783935546875,0.9168925022583558
