experiment,stratum,outcome,predictor,budget,n_tasks,n_selected,high_error_capture,random_expected_capture,selected_mean_error,overall_mean_error,error_lift,oracle_mean_error,oracle_normalized_utility,selected_mean_bound_to_error_ratio
E189,support_2::unseen_perturbation_column,family_worst_error,predicted_magnitude,0.1,960,96,0.08333333333333333,0.1,0.12453148252566283,0.12527520491771962,0.9940632913548594,0.27137181374684843,-0.005090620501168733,
E189,support_2::unseen_perturbation_column,family_worst_error,diameter_half_lower_bound,0.2,960,192,0.22395833333333334,0.2,0.128008263346546,0.12527520491771962,1.0218164355078998,0.21982515538520508,0.02890597420002074,0.284169776428363
E189,support_2::unseen_perturbation_column,family_worst_error,predicted_magnitude,0.2,960,192,0.203125,0.2,0.13151186777866367,0.12527520491771962,1.049783697141348,0.21982515538520508,0.0659615666651116,
E189,support_2::unseen_perturbation_column,family_worst_error,diameter_half_lower_bound,0.3,960,288,0.3611111111111111,0.3,0.13038453750074985,0.12527520491771962,1.0407848670962943,0.19289062496708256,0.07556460611056084,0.2691437751154409
E189,support_2::unseen_perturbation_column,family_worst_error,predicted_magnitude,0.3,960,288,0.3611111111111111,0.3,0.13330189007378954,0.12527520491771962,1.0640724168948021,0.19289062496708256,0.11871086728752103,
E189,support_3::double_unseen,family_rms_error,diversity_lower_bound,0.1,480,48,0.10416666666666667,0.1,0.114801377704343,0.11548288902757668,0.9940985947877443,0.26392673558712004,-0.0045910378842165065,0.3215994527467826
E189,support_3::double_unseen,family_rms_error,predicted_magnitude,0.1,480,48,0.14583333333333334,0.1,0.12033738550688478,0.11548288902757668,1.0420365001272947,0.26392673558712004,0.03270257805776322,
E189,support_3::double_unseen,family_rms_error,diversity_lower_bound,0.2,480,96,0.17708333333333334,0.2,0.10677697287315835,0.11548288902757668,0.9246129341954772,0.2123719228821266,-0.08985450476766728,0.3191292467643683
E189,support_3::double_unseen,family_rms_error,predicted_magnitude,0.2,480,96,0.15625,0.2,0.11347601443024691,0.11548288902757668,0.9826218878465143,0.2123719228821266,-0.020713124256585117,
E189,support_3::double_unseen,family_rms_error,diversity_lower_bound,0.3,480,144,0.18055555555555555,0.3,0.10171120525817806,0.11548288902757668,0.8807469757176752,0.18437386389365232,-0.19990548538717642,0.31939509671421495
