culture_condition,stratum,score_name,coverage,selected_k,risk_tie_average,risk_best_legal_tie_order,risk_worst_legal_tie_order
Stim48hr,all_200,context_only,0.25,50,0.12546836589682525,0.077979410563424889,0.20459033941085081
Stim48hr,all_200,context_only,0.30000000000000004,61,0.12546836589682525,0.080063995944828437,0.19179029014091831
Stim48hr,all_200,context_only,0.35000000000000003,70,0.12546836589682525,0.081942281700540964,0.18334950264149355
Stim48hr,all_200,context_only,0.40000000000000002,80,0.12546836589682525,0.084026195634855277,0.17553350378741212
Stim48hr,all_200,context_only,0.45000000000000001,90,0.12546836589682525,0.086052380235454778,0.16878388042674955
Stim48hr,all_200,context_only,0.5,100,0.12546836589682525,0.08807240023150803,0.16286433156214244
Stim48hr,all_200,context_only,0.55000000000000004,111,0.12546836589682525,0.090226645259962893,0.15723218247937487
Stim48hr,all_200,context_only,0.60000000000000009,121,0.12546836589682525,0.09230296423922893,0.15265457185034559
Stim48hr,all_200,context_only,0.65000000000000002,130,0.12546836589682525,0.09430159995738846,0.14890548815636293
Stim48hr,all_200,context_only,0.69999999999999996,140,0.12546836589682525,0.096595284292935402,0.14500568823173238
Stim48hr,all_200,context_only,0.75,150,0.12546836589682522,0.099094374725483381,0.14129801767462533
Stim48hr,all_200,context_only,0.80000000000000004,160,0.12546836589682525,0.10201662598564179,0.13790990895577382
Stim48hr,all_200,context_only,0.85000000000000009,171,0.12546836589682522,0.10557157401381967,0.1343704142828514
Stim48hr,all_200,context_only,0.90000000000000013,181,0.12546836589682525,0.10940215420827391,0.13124683668588158
Stim48hr,all_200,context_only,0.94999999999999996,190,0.12546836589682522,0.11429190172138735,0.12856062700571858
Stim48hr,all_200,context_only,1,200,0.12546836589682525,0.12546836589682525,0.12546836589682525
Stim48hr,seen_160,SafeConf,0.20000000000000001,32,0.1112873099765965,0.1112873099765965,0.1112873099765965
Stim48hr,seen_160,SafeConf,0.25,40,0.1182735241751689,0.1182735241751689,0.1182735241751689
Stim48hr,seen_160,SafeConf,0.30000000000000004,49,0.11410921100777383,0.11410921100777383,0.11410921100777383
Stim48hr,seen_160,SafeConf,0.35000000000000003,57,0.11348143932253804,0.11348143932253804,0.11348143932253804
Stim48hr,seen_160,SafeConf,0.40000000000000002,64,0.11305962106213031,0.11305962106213031,0.11305962106213031
Stim48hr,seen_160,SafeConf,0.45000000000000001,72,0.1197863684231369,0.1197863684231369,0.1197863684231369
Stim48hr,seen_160,SafeConf,0.5,80,0.12287587709316847,0.12287587709316847,0.12287587709316847
Stim48hr,seen_160,SafeConf,0.55000000000000004,88,0.12249892137942972,0.12249892137942972,0.12249892137942972
Stim48hr,seen_160,SafeConf,0.60000000000000009,97,0.12174796555332203,0.12174796555332203,0.12174796555332203
Stim48hr,seen_160,SafeConf,0.65000000000000002,104,0.1216546020546995,0.1216546020546995,0.1216546020546995
Stim48hr,seen_160,SafeConf,0.69999999999999996,112,0.12176945941949882,0.12176945941949882,0.12176945941949882
Stim48hr,seen_160,SafeConf,0.75,120,0.12337158008986054,0.12337158008986054,0.12337158008986054
Stim48hr,seen_160,SafeConf,0.80000000000000004,128,0.12390242875361361,0.12390242875361361,0.12390242875361361
Stim48hr,seen_160,SafeConf,0.85000000000000009,136,0.12441586311736665,0.12441586311736665,0.12441586311736665
Stim48hr,seen_160,SafeConf,0.90000000000000013,145,0.12449429330959993,0.12449429330959993,0.12449429330959993
Stim48hr,seen_160,SafeConf,0.94999999999999996,152,0.12791474975741365,0.12791474975741365,0.12791474975741365
Stim48hr,seen_160,SafeConf,1,160,0.12742308123362339,0.12742308123362339,0.12742308123362339
Stim48hr,seen_160,magnitude,0.20000000000000001,32,0.1329079157407437,0.1329079157407437,0.1329079157407437
Stim48hr,seen_160,magnitude,0.25,40,0.12902525168143711,0.12902525168143711,0.12902525168143711
Stim48hr,seen_160,magnitude,0.30000000000000004,49,0.1240705307685719,0.1240705307685719,0.1240705307685719
Stim48hr,seen_160,magnitude,0.35000000000000003,57,0.12420050844514956,0.12420050844514956,0.12420050844514956
Stim48hr,seen_160,magnitude,0.40000000000000002,64,0.12356719072545512,0.12356719072545512,0.12356719072545512
Stim48hr,seen_160,magnitude,0.45000000000000001,72,0.12133622915956141,0.12133622915956141,0.12133622915956141
Stim48hr,seen_160,magnitude,0.5,80,0.11932291197696691,0.11932291197696691,0.11932291197696691
Stim48hr,seen_160,magnitude,0.55000000000000004,88,0.120626315672951,0.11967363062106844,0.12157900072483357
Stim48hr,seen_160,magnitude,0.60000000000000009,97,0.12247562717402698,0.12247562717402698,0.12247562717402698
Stim48hr,seen_160,magnitude,0.65000000000000002,104,0.12092063557808734,0.12092063557808734,0.12092063557808734
Stim48hr,seen_160,magnitude,0.69999999999999996,112,0.11971247008065808,0.11971247008065808,0.11971247008065808
Stim48hr,seen_160,magnitude,0.75,120,0.12101420952954922,0.12101420952954922,0.12101420952954922
Stim48hr,seen_160,magnitude,0.80000000000000004,128,0.12285211034047849,0.12285211034047849,0.12285211034047849
Stim48hr,seen_160,magnitude,0.85000000000000009,136,0.12247306353360322,0.12247306353360322,0.12247306353360322
Stim48hr,seen_160,magnitude,0.90000000000000013,145,0.12489034007891765,0.12489034007891765,0.12489034007891765
Stim48hr,seen_160,magnitude,0.94999999999999996,152,0.12791474975741365,0.12791474975741365,0.12791474975741365
Stim48hr,seen_160,magnitude,1,160,0.12742308123362339,0.12742308123362339,0.12742308123362339
Stim48hr,seen_160,disagreement_only,0.20000000000000001,32,0.1112873099765965,0.1112873099765965,0.1112873099765965
Stim48hr,seen_160,disagreement_only,0.25,40,0.1182735241751689,0.1182735241751689,0.1182735241751689
Stim48hr,seen_160,disagreement_only,0.30000000000000004,49,0.11410921100777383,0.11410921100777383,0.11410921100777383
Stim48hr,seen_160,disagreement_only,0.35000000000000003,57,0.11348143932253804,0.11348143932253804,0.11348143932253804
Stim48hr,seen_160,disagreement_only,0.40000000000000002,64,0.11305962106213031,0.11305962106213031,0.11305962106213031
Stim48hr,seen_160,disagreement_only,0.45000000000000001,72,0.1197863684231369,0.1197863684231369,0.1197863684231369
Stim48hr,seen_160,disagreement_only,0.5,80,0.12287587709316847,0.12287587709316847,0.12287587709316847
Stim48hr,seen_160,disagreement_only,0.55000000000000004,88,0.12249892137942972,0.12249892137942972,0.12249892137942972
Stim48hr,seen_160,disagreement_only,0.60000000000000009,97,0.12174796555332203,0.12174796555332203,0.12174796555332203
Stim48hr,seen_160,disagreement_only,0.65000000000000002,104,0.1216546020546995,0.1216546020546995,0.1216546020546995
Stim48hr,seen_160,disagreement_only,0.69999999999999996,112,0.12176945941949882,0.12176945941949882,0.12176945941949882
Stim48hr,seen_160,disagreement_only,0.75,120,0.12337158008986054,0.12337158008986054,0.12337158008986054
Stim48hr,seen_160,disagreement_only,0.80000000000000004,128,0.12390242875361361,0.12390242875361361,0.12390242875361361
Stim48hr,seen_160,disagreement_only,0.85000000000000009,136,0.12441586311736665,0.12441586311736665,0.12441586311736665
Stim48hr,seen_160,disagreement_only,0.90000000000000013,145,0.12449429330959993,0.12449429330959993,0.12449429330959993
Stim48hr,seen_160,disagreement_only,0.94999999999999996,152,0.12791474975741365,0.12791474975741365,0.12791474975741365
Stim48hr,seen_160,disagreement_only,1,160,0.12742308123362339,0.12742308123362339,0.12742308123362339
Stim48hr,seen_160,support_only,0.20000000000000001,32,0.12742308123362342,0.075442057569071727,0.23072535920287485
Stim48hr,seen_160,support_only,0.25,40,0.12742308123362339,0.077781636620271932,0.21354089824202971
Stim48hr,seen_160,support_only,0.30000000000000004,49,0.12742308123362342,0.079894828344305543,0.19890614624923941
Stim48hr,seen_160,support_only,0.35000000000000003,57,0.12742308123362339,0.081829870584472261,0.18861338750512593
Stim48hr,seen_160,support_only,0.40000000000000002,64,0.12742308123362342,0.083655330113805076,0.18112702411112533
Stim48hr,seen_160,support_only,0.45000000000000001,72,0.12742308123362339,0.085675276520136512,0.17363797728412689
Stim48hr,seen_160,support_only,0.5,80,0.12742308123362339,0.087679251125072064,0.16716691134217476
Stim48hr,seen_160,support_only,0.55000000000000004,88,0.12742308123362342,0.089610893555938737,0.16158037599920358
Stim48hr,seen_160,support_only,0.60000000000000009,97,0.12742308123362339,0.091888961348890144,0.15600627860491625
Stim48hr,seen_160,support_only,0.65000000000000002,104,0.12742308123362342,0.093843082212625925,0.15211988697405918
Stim48hr,seen_160,support_only,0.69999999999999996,112,0.12742308123362339,0.096162468524505676,0.1478848446803083
Stim48hr,seen_160,support_only,0.75,120,0.12742308123362339,0.0987171422308213,0.14397022943807389
