method,baseline,budget,metric,delta,ci95_lower,ci95_upper,positive_studies,n_studies
MDH,M,0.3,spearman,0.005922235527786257,-0.00019543657039845785,0.012944146791727992,3,4
MDH,M,0.3,remaining_relative_error,-0.0002735135392073207,-0.0020142290165046928,0.0014102720677415803,1,4
MDH_condition,M,0.3,utility,-0.004377201507647144,-0.016905403181963027,0.0034455350984295835,2,4
MDH_condition,M,0.3,capture,-0.00011516169396584564,-0.0006242997541081458,0.00025724498345788827,2,4
MDH_condition,M,0.3,spearman,0.004165806927968731,-0.0028741346943848833,0.00933985838402114,3,4
MDH_condition,M,0.3,remaining_relative_error,8.023141198115757e-05,-0.0003780925528367174,0.0006512078240737407,2,4
M,MD,0.3,utility,0.006757823562734494,-0.004105941101233496,0.022176116306702257,2,4
M,MD,0.3,capture,0.00030926977488052176,-0.0004334842050744414,0.0012440242630153558,2,4
M,MD,0.3,spearman,-0.0055302072688279275,-0.01057754417709185,-0.0003876931035518838,1,4
M,MD,0.3,remaining_relative_error,-0.0002824476792724073,-0.0015387423038439318,0.0007802226520428057,2,4
MD,MD,0.3,utility,0.0,0.0,0.0,0,4
MD,MD,0.3,capture,0.0,0.0,0.0,0,4
MD,MD,0.3,spearman,0.0,0.0,0.0,0,4
MD,MD,0.3,remaining_relative_error,0.0,0.0,0.0,0,4
MDH,MD,0.3,utility,0.0032776352842336653,0.0014167614181451182,0.004939957653094629,4,4
MDH,MD,0.3,capture,0.0003695594889704945,8.527042278763663e-05,0.0007216909882909045,4,4
MDH,MD,0.3,spearman,0.0003920282589583296,-0.0014140741209907187,0.0022131253006392737,2,4
MDH,MD,0.3,remaining_relative_error,-0.000555961218479728,-0.0011482061401666965,-8.849389827569887e-05,0,4
MDH_condition,MD,0.3,utility,0.0023806220550873503,-0.0012425018565629248,0.006143846831433805,3,4
MDH_condition,MD,0.3,capture,0.00019410808091467613,-0.00020505624586542037,0.0006280570926813639,3,4
MDH_condition,MD,0.3,spearman,-0.0013644003408591968,-0.004336179955534175,0.0028395667501588326,1,4
MDH_condition,MD,0.3,remaining_relative_error,-0.00020221626729124975,-0.0008975486944263755,0.000518940060144496,1,4
M,MDH,0.3,utility,0.0034801882785008287,-0.005721254016606198,0.018466437607931166,1,4
M,MDH,0.3,capture,-6.0289714089972746e-05,-0.0011504609107325647,0.001119051500113405,1,4
M,MDH,0.3,spearman,-0.005922235527786257,-0.012944146791727992,0.00019543657039845785,1,4
M,MDH,0.3,remaining_relative_error,0.0002735135392073207,-0.0014102720677415803,0.0020142290165046928,3,4
MD,MDH,0.3,utility,-0.0032776352842336653,-0.004939957653094629,-0.0014167614181451182,0,4
MD,MDH,0.3,capture,-0.0003695594889704945,-0.0007216909882909045,-8.527042278763663e-05,0,4
MD,MDH,0.3,spearman,-0.0003920282589583296,-0.0022131253006392737,0.0014140741209907187,2,4
MD,MDH,0.3,remaining_relative_error,0.000555961218479728,8.849389827569887e-05,0.0011482061401666965,4,4
MDH,MDH,0.3,utility,0.0,0.0,0.0,0,4
MDH,MDH,0.3,capture,0.0,0.0,0.0,0,4
MDH,MDH,0.3,spearman,0.0,0.0,0.0,0,4
MDH,MDH,0.3,remaining_relative_error,0.0,0.0,0.0,0,4
MDH_condition,MDH,0.3,utility,-0.0008970132291463151,-0.004245951178830726,0.0019614306734692666,2,4
MDH_condition,MDH,0.3,capture,-0.00017545140805581838,-0.0009565270363037365,0.0004739493676164941,2,4
MDH_condition,MDH,0.3,spearman,-0.0017564285998175264,-0.0055158052725141765,0.002002948072879124,2,4
MDH_condition,MDH,0.3,remaining_relative_error,0.00035374495118847826,-0.0007273352464295113,0.0017263074487148256,2,4
