target,history_mode,fraction,seed,k_sources,scope,method,budget,spearman,n_tasks,coverage,utility,capture,remaining_relative_error
K562,fraction,0.25,11,1,all,disagreement,0.1,0.5355092797746026,580,0.8275862068965517,0.4508587715970891,0.13693521323332467,0.9589608741851948
K562,fraction,0.25,11,1,all,disagreement,0.2,0.5355092797746026,580,0.8275862068965517,0.4826523495050408,0.25744262287074454,0.9281967214115693
K562,fraction,0.25,11,1,all,disagreement,0.3,0.5355092797746026,580,0.8275862068965517,0.515330005529611,0.37274141225832785,0.8960836967738174
K562,fraction,0.25,11,1,all,history_risk,0.1,0.3358163658488058,580,0.8275862068965517,0.32856853470522385,0.1269169630394673,0.9700922632894807
K562,fraction,0.25,11,1,all,history_risk,0.2,0.3358163658488058,580,0.8275862068965517,0.1909531697163869,0.2227261939680605,0.9715922575399244
K562,fraction,0.25,11,1,all,history_risk,0.3,0.3358163658488058,580,0.8275862068965517,0.3551525446416066,0.35013156111066934,0.9283834841276151
K562,fraction,0.25,11,1,all,m_plus_d,0.1,0.9083987667838475,580,0.8275862068965517,0.9134062892328929,0.17482799090715204,0.9168577878809423
K562,fraction,0.25,11,1,all,m_plus_d,0.2,0.9083987667838475,580,0.8275862068965517,0.9192296462476254,0.3094016468689308,0.8632479414138364
K562,fraction,0.25,11,1,all,m_plus_d,0.3,0.9083987667838475,580,0.8275862068965517,0.9334980490641323,0.43176792676671916,0.8117601046189726
K562,fraction,0.25,11,1,all,m_plus_history,0.1,0.899046111981088,580,0.8275862068965517,0.9461048708495434,0.1775067212779954,0.9138814208022272
K562,fraction,0.25,11,1,all,m_plus_history,0.2,0.899046111981088,580,0.8275862068965517,0.9191222860173653,0.3093888694459586,0.8632639131925517
K562,fraction,0.25,11,1,all,m_plus_history,0.3,0.899046111981088,580,0.8275862068965517,0.9374660355855305,0.4323280279451706,0.8109599600783278
K562,fraction,0.25,11,2,primary,magnitude,0.1,0.8992579621117099,566,0.9522968197879859,0.9485480829802301,0.17442893552854094,0.9180220481156106
K562,fraction,0.25,11,2,primary,magnitude,0.2,0.8992579621117099,566,0.9522968197879859,0.9337696931035814,0.309072757502704,0.8651876532156406
K562,fraction,0.25,11,2,primary,magnitude,0.3,0.8992579621117099,566,0.9522968197879859,0.9284130420476459,0.4280297491015706,0.8175130353750278
K562,fraction,0.25,11,2,primary,disagreement,0.1,0.5338684397879495,566,0.9522968197879859,0.4711404345877028,0.13732427720882315,0.9592818449897959
K562,fraction,0.25,11,2,primary,disagreement,0.2,0.5338684397879495,566,0.9522968197879859,0.46874366260095063,0.25545740543170825,0.9323254613399407
K562,fraction,0.25,11,2,primary,disagreement,0.3,0.5338684397879495,566,0.9522968197879859,0.5270583998901305,0.3728350131521123,0.8964024812017787
K562,fraction,0.25,11,2,primary,history_risk,0.1,0.5135149372992958,566,0.9522968197879859,0.5355242771771215,0.14232826172527285,0.9537174928555905
K562,fraction,0.25,11,2,primary,history_risk,0.2,0.5135149372992958,566,0.9522968197879859,0.5663617294119566,0.26671231736621864,0.9182319211741599
K562,fraction,0.25,11,2,primary,history_risk,0.3,0.5135149372992958,566,0.9522968197879859,0.5658621628246735,0.37817134970849114,0.8887752930934193
K562,fraction,0.25,11,2,primary,m_plus_d,0.1,0.9082345831777897,566,0.9522968197879859,0.8945595607747561,0.17023288698100375,0.9226879881507895
K562,fraction,0.25,11,2,primary,m_plus_d,0.2,0.9082345831777897,566,0.9522968197879859,0.9176881784190825,0.30721863318473336,0.8675094106580552
K562,fraction,0.25,11,2,primary,m_plus_d,0.3,0.9082345831777897,566,0.9522968197879859,0.9288693703822125,0.4280925038807287,0.8174233404128978
